Domain No,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66,eff_s_d,test
7746,399.422,200.465,188.467,-93.026,-64.116,15.004,201.951,1218.671,401.69,-213.025,-28.158,-52.846,189.941,401.873,1618.913,-82.568,-141.006,-76.107,-94.103,-213.772,-83.497,278.534,16.089,-27.852,-64.684,-28.705,-141.341,16.106,286.31,-87.887,15.049,-52.999,-76.231,-27.916,-88.062,483.893,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,1564.743,311.938,541.04,-80.212,-15.241,21.906,311.882,928.957,369.884,-126.248,-9.059,20.765,541.363,370.411,1784.646,-58.06,-25.628,33.23,-80.653,-126.54,-58.407,388.107,15.707,-6.243,-15.344,-9.199,-25.705,15.71,536.283,-29.953,22.028,20.855,33.328,-6.258,-30.03,450.986,0,0,0,0
1897,925.234,474.486,419.497,-229.618,-19.398,13.353,475.401,1475.51,565.491,-397.036,-8.275,-56.731,420.457,565.72,2159.629,-179.109,-81.814,-72.076,-231.157,-398.327,-180.387,528.771,12.427,-7.735,-19.658,-8.501,-81.948,12.449,471.555,-165.265,13.19,-56.935,-72.26,-7.729,-165.402,605.271,0,0,0,0
3907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
